Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,0,0.00,0.00,1,0.297308,0,0
4,0,0.00,0.00,1,0.296416,0,0
5,0,0.00,0.00,1,0.295527,0,0
6,0,0.00,0.00,1,0.294640,0,0
7,0,0.00,0.00,1,0.293756,0,0
8,2,100.00,54.00,1,0.300000,0,0
9,0,0.00,0.00,1,0.299100,0,0
10,3,89.00,99.00,1,0.298203,1,1
11,0,0.00,0.00,1,0.297308,0,0
12,0,0.00,0.00,1,0.296416,0,0
13,0,0.00,0.00,1,0.295527,0,0
14,4,88.00,78.00,1,0.294640,2,2
15,0,0.00,0.00,1,0.293756,0,0
16,1,4.00,50.00,1,0.292875,0,0
17,0,0.00,0.00,1,0.291997,0,0
18,3,99.00,89.00,1,0.291121,1,1
19,0,0.00,0.00,1,0.290247,0,0
20,2,100.00,100.00,1,0.289376,0,0
21,0,0.00,0.00,1,0.288508,0,0
22,0,0.00,0.00,1,0.287643,0,0
23,0,0.00,0.00,1,0.286780,0,0
24,2,100.00,100.00,1,0.285920,0,0
25,0,0.00,0.00,1,0.285062,0,0
26,1,4.00,50.00,1,0.284207,0,0
27,1,50.00,50.00,1,0.283354,0,0
28,2,100.00,100.00,1,0.282504,0,0
29,0,0.00,0.00,1,0.281656,0,0
30,2,100.00,100.00,1,0.280811,0,0
31,0,0.00,0.00,1,0.279969,0,0
32,4,54.00,44.00,1,0.279129,1,1
33,0,0.00,0.00,1,0.278292,0,0
34,2,100.00,100.00,1,0.277457,0,0
35,0,0.00,0.00,1,0.276624,0,0
36,1,4.00,50.00,1,0.275795,0,0
37,0,0.00,0.00,1,0.274967,0,0
38,3,99.00,89.00,1,0.274142,1,1
39,0,0.00,0.00,1,0.273320,0,0
40,3,99.00,89.00,1,0.272500,1,1
41,0,0.00,0.00,1,0.271682,0,0
42,0,0.00,0.00,1,0.270867,0,0
43,1,50.00,4.00,1,0.270055,0,0
44,3,99.00,89.00,1,0.269245,1,1
45,0,0.00,0.00,1,0.268437,0,0
46,1,4.00,50.00,1,0.267632,0,0
47,0,0.00,0.00,1,0.266829,0,0
48,2,100.00,100.00,1,0.266028,0,0
49,0,0.00,0.00,1,0.265230,0,0
50,3,99.00,89.00,1,0.264434,1,1
51,0,0.00,0.00,1,0.263641,0,0
52,0,0.00,0.00,1,0.262850,0,0
53,0,0.00,0.00,1,0.262062,0,0
54,4,98.00,98.00,1,0.261275,1,0
55,0,0.00,0.00,1,0.260492,0,0
56,1,4.00,50.00,1,0.259710,0,0
57,0,0.00,0.00,1,0.258931,0,0
58,2,100.00,100.00,1,0.258154,0,0
59,0,0.00,0.00,1,0.257380,0,0
60,2,100.00,100.00,1,0.256608,0,0
61,0,0.00,0.00,1,0.255838,0,0
62,0,0.00,0.00,1,0.255070,0,0
63,1,50.00,4.00,1,0.254305,0,0
64,5,116.00,106.00,1,0.253542,2,2
65,0,0.00,0.00,1,0.252781,0,0
66,1,4.00,50.00,1,0.252023,0,0
67,3,94.00,94.00,1,0.251267,0,1
68,2,100.00,100.00,1,0.250513,0,0
69,0,0.00,0.00,1,0.249762,0,0
70,2,100.00,100.00,1,0.249012,0,0
71,0,0.00,0.00,1,0.248265,0,0
72,0,0.00,0.00,1,0.247521,0,0
73,2,100.00,100.00,1,0.246778,0,0
74,3,99.00,89.00,1,0.246038,1,1
75,0,0.00,0.00,1,0.245300,0,0
76,1,4.00,50.00,1,0.244564,0,0
77,0,0.00,0.00,1,0.243830,0,0
78,2,100.00,100.00,1,0.243099,0,0
79,0,0.00,0.00,1,0.242369,0,0
80,3,99.00,89.00,1,0.241642,1,0
81,0,0.00,0.00,1,0.240917,0,0
82,0,0.00,0.00,1,0.240194,0,0

# Summary
# FirstGoalEpisode,0
# TotalGoalCount,41
# GoalRate_last100,1.00
