profile,mode,scenarios,goal_rate,avg_steps,avg_dev,avg_wasted,avg_cycling,avg_redundant,avg_policy_energy,avg_legacy_wallclock_energy,w1_unmodelled,w2_inversion,w3_delayed,w4_dropped,w5_topology
lab4chain3,ql_false,40,1.0,1.5,1.875,0.0,1.5,1.5,1.5,2.975,0,0,0,0,0
lab4chain3,ql_true,40,1.0,1.625,2.25,0.0,1.625,1.625,1.75,3.4,0,0,0,0,0
lab4chain3,rule_based,40,1.0,1.5,1.875,0.0,1.5,1.5,1.25,2.9,0,0,0,0,0
lab4chain3,training_stereo_false,,,,,,,,,,0,0,0,0,0
lab4chain3,training_stereo_true,,,,,,,,,,0,0,0,0,0
labband,ql_false,80,1.0,1.125,0.375,0.0,1.125,1.125,1.125,9.425,0,0,0,0,0
labband,ql_true,80,1.0,1.125,0.375,0.0,1.125,1.125,1.2,9.6125,0,0,0,0,0
labband,rule_based,80,0.4375,11.4375,15.0,0.0,11.4375,11.4375,11.1875,31.9,0,0,0,0,0
labband,training_stereo_false,,,,,,,,,,0,0,0,0,0
labband,training_stereo_true,,,,,,,,,,0,0,0,0,0
labrel0,ql_false,10,1.0,0.5,0.0,0.0,0.5,0.5,0.5,4.8,0,0,0,0,0
labrel0,ql_true,10,1.0,0.5,0.0,0.0,0.5,0.5,0.5,4.2,0,0,0,0,0
labrel0,rule_based,10,1.0,0.5,0.0,0.0,0.5,0.5,0.5,4.4,0,0,0,0,0
labrel0,training_stereo_false,,,,,,,,,,0,0,0,0,0
labrel0,training_stereo_true,,,,,,,,,,0,0,0,0,0
labrel16,ql_false,10,1.0,0.5,0.0,0.0,0.5,0.5,0.5,4.1,0,0,0,0,0
labrel16,ql_true,10,1.0,0.5,0.0,0.0,0.5,0.5,0.5,4.5,0,0,0,0,0
labrel16,rule_based,10,1.0,0.5,0.0,0.0,0.5,0.5,0.5,4.3,0,0,0,0,0
labrel16,training_stereo_false,,,,,,,,,,0,0,0,0,0
labrel16,training_stereo_true,,,,,,,,,,0,0,0,0,0
labrel4,ql_false,10,1.0,0.5,0.0,0.0,0.5,0.5,0.5,4.8,0,0,0,0,0
labrel4,ql_true,10,1.0,0.5,0.0,0.0,0.5,0.5,0.5,4.6,0,0,0,0,0
labrel4,rule_based,10,1.0,0.5,0.0,0.0,0.5,0.5,0.5,4.7,0,0,0,0,0
labrel4,training_stereo_false,,,,,,,,,,0,0,0,0,0
labrel4,training_stereo_true,,,,,,,,,,0,0,0,0,0
labrel8,ql_false,10,1.0,0.5,0.0,0.0,0.5,0.5,0.5,4.4,0,0,0,0,0
labrel8,ql_true,10,1.0,0.5,0.0,0.0,0.5,0.5,0.5,5.0,0,0,0,0,0
labrel8,rule_based,10,1.0,0.5,0.0,0.0,0.5,0.5,0.5,4.4,0,0,0,0,0
labrel8,training_stereo_false,,,,,,,,,,0,0,0,0,0
labrel8,training_stereo_true,,,,,,,,,,0,0,0,0,0
labrel8s,ql_false,10,1.0,0.5,0.0,0.0,0.5,0.5,0.5,4.4,0,0,0,0,0
labrel8s,ql_true,10,1.0,0.5,0.0,0.0,0.5,0.5,0.5,4.4,0,0,0,0,0
labrel8s,rule_based,10,1.0,0.5,0.0,0.0,0.5,0.5,0.5,4.2,0,0,0,0,0
labrel8s,training_stereo_false,,,,,,,,,,0,0,0,0,0
labrel8s,training_stereo_true,,,,,,,,,,0,0,0,0,0
