Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect,ScenarioId
392,2,189.00,0.00,1,0.092390,1,0,3
393,2,189.00,0.00,1,0.092112,1,0,4
394,1,200.00,0.00,1,0.091836,0,0,6
395,0,0.00,0.00,1,0.091561,0,0,8
396,3,178.00,0.00,1,0.091286,2,0,1
397,2,189.00,0.00,1,0.091012,1,0,2
398,2,189.00,0.00,1,0.090739,1,0,3
399,2,189.00,0.00,1,0.090467,1,0,4
400,1,200.00,0.00,1,0.090195,0,0,6
401,0,0.00,0.00,1,0.089925,0,0,8
402,6,165.00,0.00,1,0.089655,3,2,1
403,2,189.00,0.00,1,0.089386,1,0,2
404,2,189.00,0.00,1,0.089118,1,0,3
405,2,189.00,0.00,1,0.088851,1,0,4
406,1,200.00,0.00,1,0.088584,0,0,6
407,0,0.00,0.00,1,0.088318,0,0,8
408,5,166.00,0.00,1,0.088053,3,2,1
409,2,189.00,0.00,1,0.087789,1,0,2
410,2,189.00,0.00,1,0.087526,1,0,3
411,2,189.00,0.00,1,0.087263,1,0,4
412,1,200.00,0.00,1,0.087001,0,0,6
413,0,0.00,0.00,1,0.086740,0,0,8
414,4,177.00,0.00,1,0.086480,2,1,1
415,2,189.00,0.00,1,0.086221,1,0,2
416,2,189.00,0.00,1,0.085962,1,0,3
417,2,189.00,0.00,1,0.085704,1,0,4
418,1,200.00,0.00,1,0.085447,0,0,6
419,0,0.00,0.00,1,0.085191,0,0,8
420,4,177.00,0.00,1,0.084935,2,0,1
421,2,189.00,0.00,1,0.084680,1,0,2
422,2,189.00,0.00,1,0.084426,1,0,3
423,2,189.00,0.00,1,0.084173,1,0,4
424,1,200.00,0.00,1,0.083921,0,0,6
425,0,0.00,0.00,1,0.083669,0,0,8
426,3,178.00,0.00,1,0.083418,2,0,1
427,3,188.00,0.00,1,0.083168,1,1,2
428,2,189.00,0.00,1,0.082918,1,0,3
429,2,189.00,0.00,1,0.082669,1,0,4
430,1,200.00,0.00,1,0.082421,0,0,6
431,0,0.00,0.00,1,0.082174,0,0,8
432,3,178.00,0.00,1,0.081927,2,0,1
433,2,189.00,0.00,1,0.081682,1,0,2
434,2,189.00,0.00,1,0.081437,1,0,3
435,2,189.00,0.00,1,0.081192,1,0,4
436,1,200.00,0.00,1,0.080949,0,0,6
437,0,0.00,0.00,1,0.080706,0,0,8
438,4,172.00,0.00,1,0.080464,2,1,1
439,2,189.00,0.00,1,0.080222,1,0,2
440,2,189.00,0.00,1,0.079982,1,0,3
441,2,189.00,0.00,1,0.079742,1,0,4
442,1,200.00,0.00,1,0.079503,0,0,6
443,0,0.00,0.00,1,0.079264,0,0,8
444,3,178.00,0.00,1,0.079026,2,0,1
445,3,178.00,0.00,1,0.078789,2,1,2
446,2,189.00,0.00,1,0.078553,1,0,3
447,2,189.00,0.00,1,0.078317,1,0,4
448,1,200.00,0.00,1,0.078082,0,0,6
449,0,0.00,0.00,1,0.077848,0,0,8
450,3,178.00,0.00,1,0.077614,2,0,1
451,2,189.00,0.00,1,0.077382,1,0,2
452,2,189.00,0.00,1,0.077149,1,0,3
453,2,189.00,0.00,1,0.076918,1,0,4
454,1,200.00,0.00,1,0.076687,0,0,6
455,0,0.00,0.00,1,0.076457,0,0,8
456,4,167.00,0.00,1,0.076228,3,1,1
457,2,189.00,0.00,1,0.075999,1,0,2
458,2,189.00,0.00,1,0.075771,1,0,3
459,2,189.00,0.00,1,0.075544,1,0,4
460,1,200.00,0.00,1,0.075317,0,0,6
461,0,0.00,0.00,1,0.075091,0,0,8
462,4,177.00,0.00,1,0.074866,2,0,1
463,2,189.00,0.00,1,0.074641,1,0,2
464,2,189.00,0.00,1,0.074417,1,0,3
465,2,189.00,0.00,1,0.074194,1,0,4
466,1,200.00,0.00,1,0.073972,0,0,6
467,0,0.00,0.00,1,0.073750,0,0,8
468,3,178.00,0.00,1,0.073528,2,0,1
469,2,189.00,0.00,1,0.073308,1,0,2
470,2,189.00,0.00,1,0.073088,1,0,3
471,2,189.00,0.00,1,0.072869,1,0,4
472,1,200.00,0.00,1,0.072650,0,0,6
473,0,0.00,0.00,1,0.072432,0,0,8
474,3,178.00,0.00,1,0.072215,2,0,1
475,2,189.00,0.00,1,0.071998,1,0,2
476,2,189.00,0.00,1,0.071782,1,0,3
477,2,189.00,0.00,1,0.071567,1,0,4
478,1,200.00,0.00,1,0.071352,0,0,6
479,0,0.00,0.00,1,0.071138,0,0,8
480,4,177.00,0.00,1,0.070925,2,0,1
481,2,189.00,0.00,1,0.070712,1,0,2
482,2,189.00,0.00,1,0.070500,1,0,3
483,2,189.00,0.00,1,0.070288,1,0,4
484,1,200.00,0.00,1,0.070077,0,0,6
485,0,0.00,0.00,1,0.069867,0,0,8
486,3,178.00,0.00,1,0.069658,2,0,1
487,2,189.00,0.00,1,0.069449,1,0,2
488,2,189.00,0.00,1,0.069240,1,0,3
489,2,189.00,0.00,1,0.069033,1,0,4
490,1,200.00,0.00,1,0.068825,0,0,6
491,0,0.00,0.00,1,0.068619,0,0,8
492,3,178.00,0.00,1,0.068413,2,0,1
493,2,189.00,0.00,1,0.068208,1,0,2
494,2,189.00,0.00,1,0.068003,1,0,3
495,2,189.00,0.00,1,0.067799,1,0,4
496,1,200.00,0.00,1,0.067596,0,0,6
497,0,0.00,0.00,1,0.067393,0,0,8
498,3,178.00,0.00,1,0.067191,2,0,1
499,2,189.00,0.00,1,0.066989,1,0,2
500,2,189.00,0.00,1,0.066788,1,0,3
501,2,189.00,0.00,1,0.066588,1,0,4
502,1,200.00,0.00,1,0.066388,0,0,6
503,0,0.00,0.00,1,0.066189,0,0,8
504,3,178.00,0.00,1,0.065990,2,0,1
505,2,189.00,0.00,1,0.065792,1,0,2
506,2,189.00,0.00,1,0.065595,1,0,3
507,2,189.00,0.00,1,0.065398,1,0,4
508,3,178.00,0.00,1,0.065202,2,0,6
509,0,0.00,0.00,1,0.065007,0,0,8
510,3,178.00,0.00,1,0.064811,2,0,1
511,2,189.00,0.00,1,0.064617,1,0,2
512,3,188.00,0.00,1,0.064423,1,0,3
513,2,189.00,0.00,1,0.064230,1,0,4
514,1,200.00,0.00,1,0.064037,0,0,6
515,0,0.00,0.00,1,0.063845,0,0,8
516,3,178.00,0.00,1,0.063654,2,0,1
517,2,189.00,0.00,1,0.063463,1,0,2
518,3,178.00,0.00,1,0.063272,2,1,3
519,2,189.00,0.00,1,0.063082,1,0,4
520,1,200.00,0.00,1,0.062893,0,0,6
521,0,0.00,0.00,1,0.062705,0,0,8
522,4,172.00,0.00,1,0.062516,2,1,1
523,2,189.00,0.00,1,0.062329,1,0,2
524,3,188.00,0.00,1,0.062142,1,1,3
525,2,189.00,0.00,1,0.061955,1,0,4
526,1,200.00,0.00,1,0.061770,0,0,6
527,0,0.00,0.00,1,0.061584,0,0,8
528,4,177.00,0.00,1,0.061400,2,1,1
529,3,188.00,0.00,1,0.061215,1,0,2
530,2,189.00,0.00,1,0.061032,1,0,3
531,2,189.00,0.00,1,0.060849,1,0,4
532,1,200.00,0.00,1,0.060666,0,0,6
533,0,0.00,0.00,1,0.060484,0,0,8
534,3,178.00,0.00,1,0.060303,2,0,1
535,2,189.00,0.00,1,0.060122,1,0,2
536,2,189.00,0.00,1,0.059941,1,0,3
537,2,189.00,0.00,1,0.059761,1,0,4
538,1,200.00,0.00,1,0.059582,0,0,6
539,0,0.00,0.00,1,0.059403,0,0,8
540,3,178.00,0.00,1,0.059225,2,0,1
541,2,189.00,0.00,1,0.059048,1,0,2
542,2,189.00,0.00,1,0.058870,1,0,3
543,2,189.00,0.00,1,0.058694,1,0,4
544,1,200.00,0.00,1,0.058518,0,0,6
545,0,0.00,0.00,1,0.058342,0,0,8
546,4,177.00,0.00,1,0.058167,2,0,1
