Episode,Steps,RewardZ1,RewardZ2,GoalReached,Epsilon,WastedByPenalty,WastedByNoEffect
0,0,0.00,0.00,1,0.300000,0,0
1,0,0.00,0.00,1,0.299100,0,0
2,0,0.00,0.00,1,0.298203,0,0
3,0,0.00,0.00,1,0.297308,0,0
4,0,0.00,0.00,1,0.296416,0,0
5,0,0.00,0.00,1,0.295527,0,0
6,0,0.00,0.00,1,0.294640,0,0
7,0,0.00,0.00,1,0.293756,0,0
8,2,100.00,100.00,1,0.300000,0,0
9,0,0.00,0.00,1,0.299100,0,0
10,2,100.00,100.00,1,0.298203,0,0
11,0,0.00,0.00,1,0.297308,0,0
12,0,0.00,0.00,1,0.296416,0,0
13,0,0.00,0.00,1,0.295527,0,0
14,2,100.00,100.00,1,0.294640,0,0
15,0,0.00,0.00,1,0.293756,0,0
16,2,8.00,39.00,1,0.292875,1,1
17,0,0.00,0.00,1,0.291997,0,0
18,2,100.00,100.00,1,0.291121,0,0
19,0,0.00,0.00,1,0.290247,0,0
20,3,89.00,99.00,1,0.289376,1,1
21,0,0.00,0.00,1,0.288508,0,0
22,3,99.00,89.00,1,0.287643,1,1
23,0,0.00,0.00,1,0.286780,0,0
24,4,127.00,117.00,1,0.285920,1,1
25,0,0.00,0.00,1,0.285062,0,0
26,1,4.00,50.00,1,0.284207,0,0
27,8,70.00,10.00,1,0.283354,3,4
28,2,100.00,100.00,1,0.282504,0,0
29,0,0.00,0.00,1,0.281656,0,0
30,4,93.00,83.00,1,0.280811,1,2
31,0,0.00,0.00,1,0.279969,0,0
32,0,0.00,0.00,1,0.279129,0,0
33,3,50.00,50.00,1,0.278292,1,0
34,3,89.00,99.00,1,0.277457,1,1
35,0,0.00,0.00,1,0.276624,0,0
36,1,4.00,50.00,1,0.275795,0,0
37,4,100.00,100.00,1,0.274967,1,0
38,3,89.00,89.00,1,0.274142,1,1
39,0,0.00,0.00,1,0.273320,0,0
40,2,100.00,100.00,1,0.272500,0,0
41,0,0.00,0.00,1,0.271682,0,0
42,0,0.00,0.00,1,0.270867,0,0
43,2,49.00,39.00,1,0.270055,1,0
44,2,100.00,100.00,1,0.269245,0,0
45,0,0.00,0.00,1,0.268437,0,0
46,1,4.00,50.00,1,0.267632,0,0
47,6,62.00,27.00,1,0.266829,2,2
48,2,100.00,100.00,1,0.266028,0,0
49,0,0.00,0.00,1,0.265230,0,0
50,2,100.00,100.00,1,0.264434,0,0
51,0,0.00,0.00,1,0.263641,0,0
52,1,50.00,50.00,1,0.262850,0,0
53,4,39.00,49.00,1,0.262062,2,1
54,3,89.00,99.00,1,0.261275,1,1
55,0,0.00,0.00,1,0.260492,0,0
56,1,4.00,50.00,1,0.259710,0,0
57,0,0.00,0.00,1,0.258931,0,0
58,2,100.00,100.00,1,0.258154,0,0
59,0,0.00,0.00,1,0.257380,0,0
60,2,100.00,100.00,1,0.256608,0,0
61,0,0.00,0.00,1,0.255838,0,0
62,0,0.00,0.00,1,0.255070,0,0
63,0,0.00,0.00,1,0.254305,0,0
64,2,100.00,100.00,1,0.253542,0,0
65,0,0.00,0.00,1,0.252781,0,0
66,1,4.00,50.00,1,0.252023,0,0
67,0,0.00,0.00,1,0.251267,0,0
68,2,100.00,100.00,1,0.250513,0,0
69,0,0.00,0.00,1,0.249762,0,0
70,3,99.00,89.00,1,0.249012,1,0
71,0,0.00,0.00,1,0.248265,0,0
72,3,83.00,83.00,1,0.247521,0,1
73,0,0.00,0.00,1,0.246778,0,0
74,2,100.00,100.00,1,0.246038,0,0
75,0,0.00,0.00,1,0.245300,0,0
76,1,4.00,50.00,1,0.244564,0,0
77,3,50.00,50.00,1,0.243830,1,0
78,3,99.00,89.00,1,0.243099,1,1
79,0,0.00,0.00,1,0.242369,0,0
80,2,100.00,100.00,1,0.241642,0,0
81,0,0.00,0.00,1,0.240917,0,0
82,0,0.00,0.00,1,0.240194,0,0
83,0,0.00,0.00,1,0.239474,0,0
84,2,100.00,100.00,1,0.238755,0,0
85,0,0.00,0.00,1,0.238039,0,0
86,1,4.00,50.00,1,0.237325,0,0
87,3,89.00,99.00,1,0.236613,1,1
88,2,100.00,100.00,1,0.235903,0,0
89,0,0.00,0.00,1,0.235196,0,0
90,2,100.00,100.00,1,0.234490,0,0
91,0,0.00,0.00,1,0.233786,0,0
92,0,0.00,0.00,1,0.233085,0,0
93,1,50.00,50.00,1,0.232386,0,0
94,2,100.00,100.00,1,0.231689,0,0
95,0,0.00,0.00,1,0.230994,0,0
96,1,4.00,50.00,1,0.230301,0,0
97,0,0.00,0.00,1,0.229610,0,0

# Summary
# FirstGoalEpisode,0
# TotalGoalCount,51
# GoalRate_last100,1.00
